day,series,demand,received,opening,served,lost,closing,order,target
0,0,0.0,0.0,225.44938356164386,0.0,0.0,225.44938356164386,55.56863982175588,281.01802338339974
0,1,0.0,0.0,509.6604109589041,0.0,0.0,509.6604109589041,0.0,423.68522478525585
0,2,587.94,0.0,546.2143150684931,546.2143150684931,41.725684931506976,0.0,800.5369216924429,800.5369216924429
0,3,0.0,0.0,241.21928082191778,0.0,0.0,241.21928082191778,26.05424974247603,267.2735305643938
0,4,221.9,0.0,524.5339726027396,221.9,0.0,302.6339726027396,358.42311648819293,661.0570890909325
0,5,0.0,0.0,424.828801369863,0.0,0.0,424.828801369863,0.0,337.0165259706679
0,6,0.0,0.0,486.7493150684934,0.0,0.0,486.7493150684934,0.0,337.9707023090401
0,7,0.0,0.0,347.7283561643836,0.0,0.0,347.7283561643836,0.0,265.74223673467066
0,8,0.0,0.0,377.5047260273973,0.0,0.0,377.5047260273973,9.200608423011658,386.70533445040894
0,9,0.0,0.0,465.06106164383544,0.0,0.0,465.06106164383544,34.53528743273233,499.5963490765678
0,10,0.0,0.0,452.51907534246584,0.0,0.0,452.51907534246584,0.0,433.51487305703483
0,11,0.0,0.0,289.2730821917808,0.0,0.0,289.2730821917808,198.20307791829765,487.47616011007847
0,12,0.0,0.0,386.6066438356164,0.0,0.0,386.6066438356164,219.4364585116209,606.0431023472373
0,13,0.0,0.0,467.8044863013699,0.0,0.0,467.8044863013699,125.47758518583174,593.2820714872016
0,14,0.0,0.0,423.9286301369862,0.0,0.0,423.9286301369862,0.0,386.1368580893217
0,15,0.0,0.0,370.4582191780823,0.0,0.0,370.4582191780823,0.0,183.73220462672086
0,16,0.0,0.0,372.61815068493144,0.0,0.0,372.61815068493144,226.03718236483263,598.6553330497641
0,17,0.0,0.0,440.7528424657535,0.0,0.0,440.7528424657535,100.74768167885236,541.5005241446058
0,18,0.0,0.0,363.7329452054794,0.0,0.0,363.7329452054794,66.31491657992734,430.0478617854067
0,19,0.0,0.0,339.1046917808219,0.0,0.0,339.1046917808219,0.0,292.83795229509553
0,20,0.0,0.0,382.2246917808219,0.0,0.0,382.2246917808219,103.87110155813366,486.09579333895556
0,21,0.0,0.0,217.15965753424652,0.0,0.0,217.15965753424652,71.57177365860187,288.7314311928484
0,22,322.9,0.0,514.6831506849315,322.9,0.0,191.78315068493157,444.1742196804669,635.9573703653984
0,23,0.0,0.0,400.63876712328766,0.0,0.0,400.63876712328766,57.495378634319195,458.13414575760686
0,24,0.0,0.0,420.8831506849314,0.0,0.0,420.8831506849314,0.0,200.38452513748666
0,25,404.47,0.0,414.17273972602743,404.47,0.0,9.702739726027403,386.5874742218923,396.2902139479197
0,26,0.0,0.0,433.2189726027399,0.0,0.0,433.2189726027399,178.71003826888102,611.9290108716209
0,27,0.0,0.0,324.58712328767126,0.0,0.0,324.58712328767126,87.0924963354002,411.67961962307146
0,28,0.0,0.0,357.3754109589041,0.0,0.0,357.3754109589041,264.86970062415867,622.2451115830628
0,29,0.0,0.0,292.1207876712329,0.0,0.0,292.1207876712329,104.99434151915841,397.1151291903913
0,30,0.0,0.0,408.68301369863025,0.0,0.0,408.68301369863025,0.0,331.1664465973943
0,31,0.0,0.0,575.8559589041095,0.0,0.0,575.8559589041095,95.62373721948836,671.4796961235978
0,32,405.84,0.0,515.9707191780824,405.84,0.0,110.13071917808242,443.9145281475067,554.0452473255891
0,33,0.0,0.0,332.5119863013699,0.0,0.0,332.5119863013699,0.0,292.8146854422369
0,34,0.0,0.0,484.3216095890409,0.0,0.0,484.3216095890409,0.0,331.48944001065666
0,35,0.0,0.0,392.25914383561656,0.0,0.0,392.25914383561656,174.12391070247122,566.3830545380878
0,36,0.0,0.0,556.6009246575342,0.0,0.0,556.6009246575342,118.7611579442621,675.3620826017963
0,37,0.0,0.0,367.40099315068494,0.0,0.0,367.40099315068494,15.521296330691712,382.92228948137665
0,38,0.0,0.0,453.86154109589035,0.0,0.0,453.86154109589035,0.0,376.3695231149529
0,39,0.0,0.0,333.2752739726027,0.0,0.0,333.2752739726027,0.0,288.7420600370111
0,40,0.0,0.0,363.6351369863013,0.0,0.0,363.6351369863013,71.93228566165197,435.56742264795326
0,41,0.0,0.0,342.41434931506853,0.0,0.0,342.41434931506853,0.0,323.37354954296666
0,42,0.0,0.0,271.86130136986304,0.0,0.0,271.86130136986304,208.05660308835053,479.91790445821357
0,43,343.13,0.0,480.8273630136987,343.13,0.0,137.6973630136987,373.195126752089,510.8924897657877
0,44,123.44,0.0,279.9872945205479,123.44,0.0,156.5472945205479,239.304318020986,395.8516125415339
0,45,0.0,0.0,535.524212328767,0.0,0.0,535.524212328767,74.52688342826957,610.0510957570366
0,46,0.0,0.0,423.32404109589044,0.0,0.0,423.32404109589044,0.0,326.5422953047816
0,47,0.0,0.0,388.81476027397264,0.0,0.0,388.81476027397264,174.34499973154323,563.1597600055159
0,48,226.17,0.0,527.1062328767123,226.17,0.0,300.9362328767123,389.06846459541487,690.0046974721272
0,49,0.0,0.0,338.29465753424654,0.0,0.0,338.29465753424654,184.66918022324535,522.9638377574919
0,50,0.0,0.0,404.66832191780827,0.0,0.0,404.66832191780827,71.42477814549636,476.09310006330463
0,51,0.0,0.0,245.63647260273976,0.0,0.0,245.63647260273976,96.50334183919179,342.13981444193155
0,52,0.0,0.0,465.3753424657534,0.0,0.0,465.3753424657534,0.0,368.37731326439143
0,53,0.0,0.0,310.62667808219175,0.0,0.0,310.62667808219175,30.108834294890016,340.73551237708176
0,54,0.0,0.0,468.955410958904,0.0,0.0,468.955410958904,174.5715355801504,643.5269465390544
0,55,0.0,0.0,305.61544520547955,0.0,0.0,305.61544520547955,0.0,290.4449922594987
0,56,0.0,0.0,376.81647260273974,0.0,0.0,376.81647260273974,0.0,343.41758178915995
0,57,0.0,0.0,313.2279452054794,0.0,0.0,313.2279452054794,198.0845118974845,511.3124571029639
0,58,0.0,0.0,497.21479452054797,0.0,0.0,497.21479452054797,0.0,402.3316570891947
0,59,0.0,0.0,482.4107534246574,0.0,0.0,482.4107534246574,0.0,471.83516495921043
0,60,0.0,0.0,430.6970547945208,0.0,0.0,430.6970547945208,134.18069078330052,564.8777455778213
